IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls
197033-15122023,15-Dec-23,2023,16:16:42,16,False Alarm,AFA,,Non Residential,Hospital ,Within same building,NW3 2PF,NW3,5155897.0,20400300,E09000007,CAMDEN,Camden,E05013658,GOSPEL OAK,GOSPEL OAK,527228.0,185389.0,527250,185350,51.55305834,-0.16629511,London,Kentish Town,377.0,West Hampstead,385.0,West Hampstead,1.0,2.0,2,61,394,1.0
071616-22052023,22-May-23,2023,11:12:46,11,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE23,0.0,22001890,E09000023,LEWISHAM,Lewisham,E05013722,FOREST HILL,FOREST HILL,,,535450,173650,,,London,Forest Hill,942.0,Lewisham,943.0,Forest Hill,2.0,2.0,2,64,414,4.0
054084-19042023,19-Apr-23,2023,00:49:24,0,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,KT2,0.0,21880099,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05013938,KINGSTON TOWN,KINGSTON TOWN,,,518350,169350,,,London,Kingston,353.0,Kingston,369.0,Kingston,1.0,2.0,2,60,388,1.0
089680-19062023,19-Jun-23,2023,19:43:49,19,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N1,0.0,21604207,E09000019,ISLINGTON,Islington,E05013698,BARNSBURY,BARNSBURY,,,531250,183250,,,London,Euston,272.0,Islington,,,1.0,1.0,1,60,388,1.0
045525-02042023,02-Apr-23,2023,05:33:18,5,False Alarm,AFA,,Non Residential,Mill ,Correct incident location,EN3 4TG,EN3,207184751.0,20702448,E09000010,ENFIELD,Enfield,E05013689,PONDERS END,PONDERS END,536238.0,195558.0,536250,195550,51.64233,-0.032478,London,Enfield,531.0,Edmonton,,,1.0,1.0,1,60,388,2.0
028725-26022023,26-Feb-23,2023,18:09:00,18,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,E14,0.0,22701208,E09000030,TOWER HAMLETS,Tower Hamlets,E05009326,LIMEHOUSE,LIMEHOUSE,,,536750,180850,,,London,Poplar,,,,,,,1,60,364,2.0
188392-01122023,01-Dec-23,2023,05:15:56,5,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW8,0.0,22901173,E09000032,WANDSWORTH,Wandsworth,E05014019,SHAFTESBURY & QUEENSTOWN,SHAFTESBURY & QUEENSTOWN,,,529650,176850,,,London,Clapham,,,,,1.0,1.0,1,60,388,1.0
060239-30042023,30-Apr-23,2023,21:10:24,21,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,W11,0.0,21000663,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013748,SHEPHERD'S BUSH GREEN,SHEPHERD'S BUSH GREEN,,,523850,180350,,,London,North Kensington,287.0,Kensington,,,1.0,1.0,1,60,388,1.0
088343-17062023,17-Jun-23,2023,15:43:20,15,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,W5,0.0,20601929,E09000009,EALING,Ealing,E05013521,EALING COMMON,EALING COMMON,,,518050,180450,,,London,Ealing,,,,,,,1,60,388,2.0
012588-26012023,26-Jan-23,2023,05:02:31,5,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,HA0,0.0,20201359,E09000005,BRENT,Brent,E05013511,SUDBURY,SUDBURY,,,516650,185650,,,London,Wembley,335.0,Wembley,,,1.0,1.0,1,60,364,1.0
016903-03022023,03-Feb-23,2023,14:20:31,14,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW1,0.0,22403465,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05013789,TWICKENHAM RIVERSIDE,TWICKENHAM RIVERSIDE,,,517150,174250,,,London,Twickenham,266.0,Twickenham,,,1.0,1.0,1,60,364,1.0
096017-29062023,29-Jun-23,2023,12:28:00,12,Special Service,Special Service,Removal of objects from people,Non Residential,Fire station ,Correct incident location,W6 7NL,W6,34133162.0,21000727,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013735,BROOK GREEN,BROOK GREEN,523366.0,178959.0,523350,178950,51.49612304,-0.224223687,London,Hammersmith,39.0,Hammersmith,,,1.0,1.0,1,60,388,1.0
075487-28052023,28-May-23,2023,20:54:54,20,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW13,0.0,22405220,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05013774,BARNES,BARNES,,,521850,176950,,,London,Hammersmith,310.0,Richmond,501.0,Fulham,2.0,2.0,2,60,388,1.0
191116-05122023,05-Dec-23,2023,15:19:27,15,Special Service,Special Service,No action (not false alarm),Non Residential,Other retail  ,Correct incident location,NW5 2DJ,NW5,5110208.0,20400366,E09000007,CAMDEN,Camden,E05013664,KENTISH TOWN SOUTH,KENTISH TOWN SOUTH,529220.0,185061.0,529250,185050,51.5496624,-0.1376997,London,Kentish Town,203.0,Kentish Town,,,1.0,1.0,1,60,388,1.0
130019-26082023,26-Aug-23,2023,15:07:05,15,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,N15,0.0,21104071,E09000014,HARINGEY,Haringey,E05013601,TOTTENHAM CENTRAL,TOTTENHAM CENTRAL,,,533350,189050,,,London,Tottenham,542.0,Tottenham,,,1.0,1.0,1,60,388,1.0
053243-17042023,17-Apr-23,2023,13:43:52,13,Special Service,Special Service,Spills and Leaks (not RTC),Road Vehicle,Car ,On motorway / elevated road,UB3 4QQ,UB3,768012137.0,21402330,E09000017,HILLINGDON,Hillingdon,E05013576,PINKWELL,PINKWELL,510568.0,179118.0,510550,179150,51.50019788,-0.408446034,London,Hayes,521.0,Hayes,717.0,Heathrow,2.0,2.0,2,60,388,1.0
187884-30112023,30-Nov-23,2023,09:33:33,9,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,DA1 3QA,DA1,10011847315.0,20101348,E09000004,BEXLEY,Bexley,E05011222,CRAYFORD,CRAYFORD,551685.0,174520.0,551650,174550,51.44936351,0.181539449,London,Bexley,401.0,Bexley,,,1.0,1.0,1,60,388,1.0
021913-13022023,13-Feb-23,2023,08:43:55,8,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW8,0.0,21500377,E09000018,HOUNSLOW,Hounslow,E05013607,BRENTFORD EAST,BRENTFORD EAST,,,517950,178150,,,London,Chiswick,324.0,Chiswick,,,1.0,1.0,1,60,364,1.0
138490-09092023,09-Sep-23,2023,04:00:25,4,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,E1,0.0,22700914,E09000030,TOWER HAMLETS,Tower Hamlets,E05009336,WHITECHAPEL,WHITECHAPEL,,,534450,181550,,,London,Whitechapel,437.0,Shoreditch,453.0,Bethnal Green,2.0,2.0,2,60,388,1.0
154166-04102023,04-Oct-23,2023,17:06:49,17,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,E1,0.0,22700497,E09000030,TOWER HAMLETS,Tower Hamlets,E05009336,WHITECHAPEL,WHITECHAPEL,,,534250,181550,,,London,Whitechapel,190.0,Whitechapel,279.0,Bethnal Green,4.0,4.0,4,60,388,1.0
173309-05112023,05-Nov-23,2023,19:00:25,19,Special Service,Special Service,No action (not false alarm),Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W9,0.0,8400093,E09000033,WESTMINSTER,Westminster,E05013795,HARROW ROAD,HARROW ROAD,,,525350,182150,,,London,Paddington,249.0,Paddington,,,1.0,1.0,1,60,388,1.0
166278-24102023,24-Oct-23,2023,18:25:15,18,Special Service,Special Service,Effecting entry/exit,Outdoor,Cemetery ,In street outside gazetteer location,E7 9DG,E7,10009001850.0,22207648,E09000025,NEWHAM,Newham,E05013917,MARYLAND,MARYLAND,539741.0,185669.0,539750,185650,51.55261198,0.014184327,London,Leytonstone,,,,,,,1,60,388,1.0
080952-06062023,06-Jun-23,2023,20:18:09,20,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,SW11,0.0,22900617,E09000032,WANDSWORTH,Wandsworth,E05014018,ST. MARY'S,ST. MARY'S,,,526650,175950,,,London,Battersea,,,,,1.0,1.0,1,60,388,1.0
092288-24062023,24-Jun-23,2023,01:14:42,1,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW1V,0.0,8401180,E09000033,WESTMINSTER,Westminster,E05013803,PIMLICO SOUTH,PIMLICO SOUTH,,,529650,178250,,,London,Lambeth,283.0,Lambeth,315.0,Chelsea,2.0,2.0,2,60,388,1.0
095610-28062023,28-Jun-23,2023,18:32:49,18,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N19,0.0,21600588,E09000019,ISLINGTON,Islington,E05013707,JUNCTION,JUNCTION,,,529650,186050,,,London,Holloway,229.0,Kentish Town,232.0,Kentish Town,1.0,2.0,2,60,388,1.0
063732-07052023,07-May-23,2023,13:57:41,13,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,E9,0.0,20900206,E09000012,HACKNEY,Hackney,E05009374,HACKNEY WICK,HACKNEY WICK,,,536150,184650,,,London,Homerton,249.0,Homerton,,,1.0,1.0,1,60,388,1.0
154753-05102023,05-Oct-23,2023,17:58:35,17,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W9,0.0,8400973,E09000033,WESTMINSTER,Westminster,E05013795,HARROW ROAD,HARROW ROAD,,,524750,182050,,,London,North Kensington,269.0,North Kensington,311.0,Paddington,2.0,2.0,2,60,388,1.0
013544-27012023,27-Jan-23,2023,22:45:20,22,Fire,Primary Fire,,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,IG5 0LG,IG5,100022203017.0,22302728,E09000026,REDBRIDGE,Redbridge,E05011243,FULLWELL,FULLWELL,542094.0,189950.0,542050,189950,51.59049494,0.049833413,London,Hainault,364.0,Woodford,,,1.0,1.0,1,66,400,11.0
036748-14032023,14-Mar-23,2023,19:41:28,19,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE8,0.0,22000051,E09000023,LEWISHAM,Lewisham,E05013727,LEWISHAM CENTRAL,LEWISHAM CENTRAL,,,537850,176250,,,London,Greenwich,435.0,Lewisham,,,1.0,1.0,1,80,485,1.0
196184-14122023,14-Dec-23,2023,07:08:37,7,False Alarm,AFA,,Non Residential,Single shop ,Within same building,NW6 4RY,NW6,5016700.0,20499034,E09000007,CAMDEN,Camden,E05013670,SOUTH HAMPSTEAD,SOUTH HAMPSTEAD,526387.0,184144.0,526350,184150,51.5420534,-0.178871,London,West Hampstead,369.0,West Hampstead,500.0,Paddington,2.0,2.0,2,60,388,1.0
000577-01012023,01-Jan-23,2023,19:29:36,19,Special Service,Special Service,Making Safe (not RTC),Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,W13,0.0,20600228,E09000009,EALING,Ealing,E05013520,EALING BROADWAY,EALING BROADWAY,,,516850,181250,,,London,Ealing,202.0,Ealing,,,1.0,1.0,1,60,364,1.0
099348-05072023,05-Jul-23,2023,03:10:39,3,Special Service,Special Service,Hazardous Materials incident,Dwelling,Licensed House in Multiple Occupation - 3 or more storeys ,Within same building,,HA1,0.0,21202003,E09000015,HARROW,Harrow,E05013563,WEST HARROW,WEST HARROW,,,514650,187850,,,London,Harrow,358.0,Harrow,,,1.0,1.0,1,81,524,1.0
158149-11102023,11-Oct-23,2023,08:28:09,8,False Alarm,AFA,,Non Residential,Factory ,Within same building,SW18 4LT,SW18,100023329498.0,22903113,E09000032,WANDSWORTH,Wandsworth,E05014026,WANDLE,WANDLE,525713.0,173529.0,525750,173550,51.446805,-0.192363,London,Wandsworth,301.0,Wandsworth,,,1.0,1.0,1,60,388,1.0
012754-26012023,26-Jan-23,2023,12:47:58,12,Special Service,Special Service,Spills and Leaks (not RTC),Road Vehicle,Car ,On land associated with building,TW8 9AD,TW8,100023408537.0,21505052,E09000018,HOUNSLOW,Hounslow,E05013608,BRENTFORD WEST,BRENTFORD WEST,517806.0,178320.0,517850,178350,51.4915706,-0.304482997,London,Ealing,371.0,Chiswick,,,1.0,1.0,1,60,364,1.0
112951-27072023,27-Jul-23,2023,20:45:57,20,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W9,0.0,8400268,E09000033,WESTMINSTER,Westminster,E05013799,LITTLE VENICE,LITTLE VENICE,,,525750,182250,,,London,Paddington,175.0,Paddington,332.0,North Kensington,2.0,2.0,2,60,388,1.0
110899-24072023,24-Jul-23,2023,10:46:08,10,False Alarm,False alarm - Malicious,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N9,0.0,20707515,E09000010,ENFIELD,Enfield,E05013679,EDMONTON GREEN,EDMONTON GREEN,,,534250,193550,,,London,Edmonton,715.0,Tottenham,,,1.0,1.0,1,60,388,1.0
116387-02082023,02-Aug-23,2023,20:22:47,20,False Alarm,AFA,,Non Residential,Multi-Storey car park,Correct incident location,RM1 1JH,RM1,100023210975.0,21300947,E09000016,HAVERING,Havering,E05013983,ST. EDWARD'S,ST. EDWARD'S,551006.0,188834.0,551050,188850,51.57814873,0.177898796,London,Romford,256.0,Romford,,,1.0,1.0,1,60,388,1.0
030188-01032023,01-Mar-23,2023,19:32:59,19,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,N11,0.0,20039190,E09000003,BARNET,Barnet,E05013640,FRIERN BARNET,FRIERN BARNET,,,527950,192050,,,London,Southgate,333.0,Finchley,456.0,Southgate,2.0,2.0,2,60,364,1.0
124241-16082023,16-Aug-23,2023,20:46:33,20,Special Service,Special Service,Evacuation (no fire),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,CR0,0.0,20502601,E09000008,CROYDON,Croydon,E05011484,SOUTH CROYDON,SOUTH CROYDON,,,532550,164850,,,London,Croydon,182.0,Croydon,,,1.0,1.0,1,60,388,1.0
115229-31072023,31-Jul-23,2023,21:04:12,21,Special Service,Special Service,Effecting entry/exit,Dwelling,House in Multiple Occupation - Up to 2 storeys (not known if licensed) ,Correct incident location,,IG1,0.0,22302861,E09000026,REDBRIDGE,Redbridge,E05011246,ILFORD TOWN,ILFORD TOWN,,,544650,186850,,,London,Ilford,180.0,Ilford,,,1.0,1.0,1,60,388,1.0
040573-22032023,22-Mar-23,2023,18:45:23,18,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,E2,0.0,22700587,E09000030,TOWER HAMLETS,Tower Hamlets,E05009335,WEAVERS,WEAVERS,,,534150,183150,,,London,Shoreditch,188.0,Bethnal Green,,,1.0,1.0,1,60,364,2.0
062407-05052023,05-May-23,2023,00:09:46,0,Special Service,Special Service,Advice Only,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,W2,0.0,8400122,E09000033,WESTMINSTER,Westminster,E05013796,HYDE PARK,HYDE PARK,,,527350,181150,,,London,Paddington,290.0,Paddington,,,1.0,1.0,1,60,388,1.0
168199-28102023,28-Oct-23,2023,07:00:03,7,Fire,Primary Fire,,Dwelling,House in Multiple Occupation - Up to 2 storeys (not known if licensed) ,Within same building,,E10,0.0,22873150,E09000031,WALTHAM FOREST,Waltham Forest,E05013888,GROVE GREEN,GROVE GREEN,,,538250,187150,,,London,Leyton,333.0,Leyton,361.0,Leytonstone,4.0,4.0,12,2368,15313,16.0
060707-01052023,01-May-23,2023,19:37:27,19,False Alarm,AFA,,Non Residential,Community centre/Hall ,Correct incident location,EC1V 9NH,EC1V,10093624181.0,21605602,E09000019,ISLINGTON,Islington,E05013699,BUNHILL,BUNHILL,532512.0,182456.0,532550,182450,51.52548123,-0.091225752,London,Shoreditch,424.0,Whitechapel,,,1.0,1.0,1,60,388,1.0
007167-16012023,16-Jan-23,2023,10:57:43,10,False Alarm,AFA,,Non Residential,Library ,Correct incident location,W2 4EW,W2,217065789.0,21700756,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009400,PEMBRIDGE,PEMBRIDGE,525187.0,180690.0,525150,180650,51.511279,-0.197393,London,Kensington,213.0,Kensington,,,1.0,1.0,1,60,364,1.0
108215-19072023,19-Jul-23,2023,17:05:50,17,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E11,0.0,22872800,E09000031,WALTHAM FOREST,Waltham Forest,E05013882,CANN HALL,CANN HALL,,,539550,186650,,,London,Leytonstone,246.0,Leytonstone,250.0,Stratford,2.0,2.0,2,60,388,1.0
133859-02092023,02-Sep-23,2023,10:12:48,10,Special Service,Special Service,Assist other agencies,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE15,0.0,22501030,E09000028,SOUTHWARK,Southwark,E05011108,NUNHEAD & QUEEN'S ROAD,NUNHEAD & QUEEN'S ROAD,,,535350,176450,,,London,New Cross,511.0,New Cross,,,1.0,1.0,1,60,388,1.0
140001-11092023,11-Sep-23,2023,04:25:20,4,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,,HA7,0.0,21200889,E09000015,HARROW,Harrow,E05013543,CANONS,CANONS,,,517550,192050,,,London,Stanmore,234.0,Stanmore,515.0,Mill Hill,2.0,2.0,2,60,388,3.0
167516-26102023,26-Oct-23,2023,22:52:43,22,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW3,0.0,21700369,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009391,CHELSEA RIVERSIDE,CHELSEA RIVERSIDE,,,527250,177750,,,London,Chelsea,180.0,Chelsea,293.0,Battersea,2.0,2.0,2,60,388,1.0
071140-21052023,21-May-23,2023,10:26:00,10,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SW7,0.0,21700129,E09000020,KENSINGTON AND CHELSEA,Kensington And chelsea,E05009393,COURTFIELD,COURTFIELD,,,526650,178650,,,London,Chelsea,245.0,Chelsea,320.0,Kensington,2.0,2.0,2,60,388,1.0
051896-14042023,14-Apr-23,2023,19:54:46,19,False Alarm,AFA,,Non Residential,Other animal boarding/breeding establishment,Within same building,TW6 3JF,TW6,100023405961.0,21400123,E09000017,HILLINGDON,Hillingdon,E05013570,HEATHROW VILLAGES,HEATHROW VILLAGES,507416.0,174103.0,507450,174150,51.4557266,-0.4553741,London,Heathrow,521.0,Heathrow,,,1.0,1.0,1,60,388,1.0
090401-21062023,21-Jun-23,2023,01:33:24,1,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,NW1,0.0,20400925,E09000007,CAMDEN,Camden,E05013668,REGENT'S PARK,REGENT'S PARK,,,528950,182350,,,London,Euston,245.0,Euston,,,1.0,1.0,1,60,388,1.0
132496-30082023,30-Aug-23,2023,22:31:27,22,False Alarm,AFA,,Non Residential,Medical/health centre,Correct incident location,E12 6AQ,E12,10012837612.0,22200141,E09000025,NEWHAM,Newham,,,,542508.0,185210.0,542550,185250,51.54780207,0.053877289,London,East Ham,400.0,East Ham,,,1.0,1.0,1,60,388,1.0
148316-24092023,24-Sep-23,2023,17:34:56,17,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,N17,0.0,21103355,E09000014,HARINGEY,Haringey,E05013601,TOTTENHAM CENTRAL,TOTTENHAM CENTRAL,,,533350,189650,,,London,Tottenham,198.0,Tottenham,217.0,Tottenham,1.0,2.0,2,60,388,1.0
164739-21102023,21-Oct-23,2023,22:30:34,22,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E5,0.0,20900815,E09000012,HACKNEY,Hackney,E05009373,HACKNEY DOWNS,HACKNEY DOWNS,,,534750,186150,,,London,Homerton,264.0,Stoke Newington,,,1.0,1.0,1,60,388,1.0
127630-22082023,22-Aug-23,2023,18:26:46,18,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,SE18,0.0,20801555,E09000011,GREENWICH,Greenwich,E05014087,PLUMSTEAD & GLYNDON,PLUMSTEAD & GLYNDON,,,544750,178750,,,London,Plumstead,,,,,1.0,1.0,1,60,388,1.0
017120-03022023,03-Feb-23,2023,21:46:06,21,Special Service,Special Service,RTC,Outdoor,Road surface/pavement ,In street outside gazetteer location,SE27 9AA,SE27,10001113533.0,21900332,E09000022,LAMBETH,Lambeth,E05014106,KNIGHT'S HILL,KNIGHT'S HILL,531904.0,172284.0,531950,172250,51.43421092,-0.10377651,London,West Norwood,219.0,West Norwood,,,1.0,1.0,1,60,364,1.0
171548-02112023,02-Nov-23,2023,23:11:00,23,Special Service,Special Service,Advice Only,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,W9,0.0,8400973,E09000033,WESTMINSTER,Westminster,E05013795,HARROW ROAD,HARROW ROAD,,,524650,182150,,,London,North Kensington,297.0,North Kensington,,,1.0,1.0,1,60,388,1.0
141350-13092023,13-Sep-23,2023,14:47:19,14,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,BR1,0.0,20300577,E09000006,BROMLEY,Bromley,E05013991,BROMLEY TOWN,BROMLEY TOWN,,,540550,169050,,,London,Bromley,791.0,Sidcup,,,1.0,1.0,1,60,388,2.0
023956-17022023,17-Feb-23,2023,04:51:51,4,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,NW8,0.0,8400327,E09000033,WESTMINSTER,Westminster,E05013794,CHURCH STREET,CHURCH STREET,,,527250,182050,,,London,Paddington,271.0,Paddington,287.0,Paddington,1.0,2.0,2,60,364,1.0
